Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 17,17,0.9139,0.9135,0.6523,0.1442,0.6555,0.2616,0.3559,1.0,15,HuBERT,AESDD
Layer 18,18,0.9023,0.9022,0.6474,0.1406,0.6502,0.2549,0.4746,1.0,15,HuBERT,AESDD
Layer 19,19,0.9007,0.9003,0.6159,0.1629,0.6181,0.2848,0.4237,1.0,15,HuBERT,AESDD
Layer 20,20,0.899,0.8982,0.6209,0.1686,0.6214,0.2781,0.3519,1.0,15,HuBERT,AESDD
Layer 21,21,0.8792,0.8785,0.5944,0.1655,0.597,0.2848,0.339,1.0,15,HuBERT,AESDD
Layer 22,22,0.9023,0.9022,0.644,0.1741,0.6445,0.2583,0.3148,1.0,15,HuBERT,AESDD
Layer 23,23,0.8974,0.8971,0.6291,0.1581,0.6303,0.2683,0.3889,1.0,15,HuBERT,AESDD
Layer 24,24,0.8791,0.8788,0.6358,0.1545,0.6379,0.2433,0.3898,1.0,15,HuBERT,AESDD
CNN,0,0.7866,0.7857,0.0,0.0,0.0,0.7866,0.0,0.0,6,HuBERT,MESD
Layer 1,1,0.8074,0.8075,0.0,0.0,0.0,0.8074,0.0,0.0,6,HuBERT,MESD
Layer 2,2,0.8469,0.8465,0.0,0.0,0.0,0.8469,0.0,0.0,6,HuBERT,MESD
Layer 3,3,0.8492,0.8486,0.0,0.0,0.0,0.8492,0.0,0.0,6,HuBERT,MESD
Layer 4,4,0.8608,0.86,0.0,0.0,0.0,0.8608,0.0,0.0,6,HuBERT,MESD
Layer 5,5,0.8678,0.867,0.0,0.0,0.0,0.8678,0.0,0.0,6,HuBERT,MESD
Layer 6,6,0.8701,0.8696,0.0,0.0,0.0,0.8701,0.0,0.0,6,HuBERT,MESD
Layer 7,7,0.8701,0.8698,0.0,0.0,0.0,0.8701,0.0,0.0,6,HuBERT,MESD
Layer 8,8,0.8782,0.8784,0.0,0.0,0.0,0.8782,0.0,0.0,6,HuBERT,MESD
Layer 9,9,0.8608,0.8601,0.0,0.0,0.0,0.8608,0.0,0.0,6,HuBERT,MESD
Layer 10,10,0.8666,0.8662,0.0,0.0,0.0,0.8666,0.0,0.0,6,HuBERT,MESD
Layer 11,11,0.8562,0.8553,0.0,0.0,0.0,0.8562,0.0,0.0,6,HuBERT,MESD
Layer 12,12,0.8516,0.8507,0.0,0.0,0.0,0.8516,0.0,0.0,6,HuBERT,MESD
Layer 13,13,0.8527,0.8528,0.0,0.0,0.0,0.8527,0.0,0.0,6,HuBERT,MESD
Layer 14,14,0.8226,0.822,0.0,0.0,0.0,0.8226,0.0,0.0,6,HuBERT,MESD
Layer 15,15,0.8167,0.8155,0.0,0.0,0.0,0.8167,0.0,0.0,6,HuBERT,MESD
Layer 16,16,0.7889,0.7887,0.0,0.0,0.0,0.7889,0.0,0.0,6,HuBERT,MESD
Layer 17,17,0.768,0.7676,0.0,0.0,0.0,0.768,0.0,0.0,6,HuBERT,MESD
Layer 18,18,0.7553,0.7544,0.0,0.0,0.0,0.7553,0.0,0.0,6,HuBERT,MESD
Layer 19,19,0.7088,0.7059,0.0,0.0,0.0,0.7088,0.0,0.0,6,HuBERT,MESD
Layer 20,20,0.7123,0.7118,0.0,0.0,0.0,0.7123,0.0,0.0,6,HuBERT,MESD
Layer 21,21,0.7088,0.7069,0.0,0.0,0.0,0.7088,0.0,0.0,6,HuBERT,MESD
Layer 22,22,0.7343,0.7336,0.0,0.0,0.0,0.7343,0.0,0.0,6,HuBERT,MESD
Layer 23,23,0.7031,0.7017,0.0,0.0,0.0,0.7031,0.0,0.0,6,HuBERT,MESD
Layer 24,24,0.6682,0.6671,0.0,0.0,0.0,0.6682,0.0,0.0,6,HuBERT,MESD
CNN,0,0.8808,0.8806,0.5877,0.1211,0.5888,0.2931,0.3,0.7833,24,wav2vec2,RAVDESS
Layer 1,1,0.9089,0.9092,0.6308,0.1326,0.6334,0.2781,0.2833,0.9167,24,wav2vec2,RAVDESS
Layer 2,2,0.9231,0.9233,0.6541,0.1077,0.6558,0.269,0.4167,0.8833,24,wav2vec2,RAVDESS
Layer 3,3,0.9365,0.9367,0.6857,0.1295,0.6874,0.2508,0.3833,0.8667,24,wav2vec2,RAVDESS
Layer 4,4,0.9516,0.9517,0.7314,0.1208,0.7324,0.2202,0.3667,0.9479,24,wav2vec2,RAVDESS
Layer 5,5,0.9534,0.9534,0.7353,0.1216,0.7365,0.2181,0.3667,0.8833,24,wav2vec2,RAVDESS
Layer 6,6,0.9555,0.9554,0.7358,0.111,0.7359,0.2197,0.45,0.9167,24,wav2vec2,RAVDESS
Layer 7,7,0.9521,0.9519,0.7556,0.1091,0.7553,0.1965,0.45,0.9333,24,wav2vec2,RAVDESS
Layer 8,8,0.9577,0.9578,0.7681,0.1045,0.7681,0.1896,0.5167,0.95,24,wav2vec2,RAVDESS
Layer 9,9,0.9478,0.9479,0.7517,0.1002,0.7521,0.1961,0.4833,0.9167,24,wav2vec2,RAVDESS
Layer 10,10,0.9499,0.9499,0.7444,0.1014,0.7446,0.2055,0.5333,0.9,24,wav2vec2,RAVDESS
Layer 11,11,0.9521,0.9521,0.7712,0.0928,0.7696,0.1809,0.55,0.9,24,wav2vec2,RAVDESS
Layer 12,12,0.9491,0.9492,0.756,0.1026,0.7554,0.1931,0.4833,0.9,24,wav2vec2,RAVDESS
Layer 13,13,0.9491,0.9493,0.7591,0.0945,0.758,0.19,0.55,0.9,24,wav2vec2,RAVDESS
Layer 14,14,0.9499,0.9501,0.7556,0.1015,0.7548,0.1943,0.5333,0.9,24,wav2vec2,RAVDESS
Layer 15,15,0.9452,0.9454,0.7414,0.1258,0.7409,0.2038,0.4167,0.9333,24,wav2vec2,RAVDESS
