Layer,Layer_Num,FiveFold_Accuracy,FiveFold_F1,LOSO_Accuracy,LOSO_Std,LOSO_F1,Accuracy_Drop,LOSO_Min_Speaker_Acc,LOSO_Max_Speaker_Acc,Num_Speakers,Model,Dataset
Layer 6,6,0.7896,0.787,0.5312,0.1681,0.5237,0.2584,0.275,0.725,4,MERT,SAVEE
Layer 7,7,0.7729,0.7708,0.5396,0.1771,0.5363,0.2333,0.2833,0.7583,4,MERT,SAVEE
Layer 8,8,0.7771,0.7756,0.5458,0.1815,0.534,0.2313,0.275,0.775,4,MERT,SAVEE
Layer 9,9,0.7646,0.7623,0.5542,0.1974,0.5385,0.2104,0.2583,0.775,4,MERT,SAVEE
Layer 10,10,0.7833,0.7799,0.5437,0.196,0.5329,0.2396,0.2417,0.7583,4,MERT,SAVEE
Layer 11,11,0.7875,0.7868,0.5437,0.1761,0.5255,0.2438,0.2667,0.7417,4,MERT,SAVEE
Layer 12,12,0.7625,0.7606,0.5583,0.1962,0.5438,0.2042,0.25,0.775,4,MERT,SAVEE
Layer 13,13,0.7625,0.7608,0.5437,0.1833,0.5272,0.2188,0.25,0.725,4,MERT,SAVEE
Layer 14,14,0.7667,0.7639,0.5375,0.1816,0.52,0.2292,0.25,0.7167,4,MERT,SAVEE
Layer 15,15,0.7333,0.7324,0.5188,0.1732,0.4962,0.2145,0.25,0.6833,4,MERT,SAVEE
Layer 16,16,0.7271,0.7268,0.5354,0.1935,0.5185,0.1917,0.25,0.7333,4,MERT,SAVEE
Layer 17,17,0.7271,0.7243,0.5188,0.1789,0.496,0.2083,0.2583,0.7083,4,MERT,SAVEE
Layer 18,18,0.7271,0.7255,0.5229,0.2102,0.5102,0.2042,0.1917,0.7167,4,MERT,SAVEE
Layer 19,19,0.7229,0.7189,0.525,0.2088,0.5067,0.1979,0.2083,0.725,4,MERT,SAVEE
Layer 20,20,0.7146,0.7125,0.5125,0.1972,0.497,0.2021,0.2167,0.6917,4,MERT,SAVEE
Layer 21,21,0.6938,0.6909,0.5,0.1908,0.4827,0.1937,0.2417,0.6833,4,MERT,SAVEE
Layer 22,22,0.6958,0.6927,0.4979,0.2001,0.4777,0.1979,0.2583,0.7,4,MERT,SAVEE
Layer 23,23,0.675,0.6702,0.4958,0.2108,0.48,0.1792,0.2417,0.7083,4,MERT,SAVEE
Layer 24,24,0.6896,0.6868,0.4958,0.2145,0.4874,0.1938,0.2167,0.7167,4,MERT,SAVEE
CNN,0,0.745,0.746,0.5646,0.1692,0.5679,0.1804,0.3333,0.8333,15,MERT,AESDD
Layer 1,1,0.8146,0.8143,0.6341,0.1816,0.6357,0.1805,0.3333,1.0,15,MERT,AESDD
Layer 2,2,0.8344,0.8339,0.6656,0.1489,0.6661,0.1688,0.4237,1.0,15,MERT,AESDD
Layer 3,3,0.846,0.8461,0.6921,0.1676,0.6915,0.1539,0.3898,1.0,15,MERT,AESDD
Layer 4,4,0.8708,0.8709,0.7185,0.148,0.7201,0.1523,0.4068,1.0,15,MERT,AESDD
Layer 5,5,0.8791,0.8799,0.7268,0.1494,0.7271,0.1523,0.3898,1.0,15,MERT,AESDD
Layer 6,6,0.8758,0.876,0.7384,0.1415,0.7369,0.1374,0.4746,1.0,15,MERT,AESDD
Layer 7,7,0.8725,0.8727,0.7467,0.1199,0.7451,0.1258,0.5424,1.0,15,MERT,AESDD
Layer 8,8,0.8874,0.8874,0.745,0.1124,0.7452,0.1424,0.5424,1.0,15,MERT,AESDD
Layer 9,9,0.8907,0.8905,0.7235,0.1343,0.7238,0.1672,0.5,1.0,15,MERT,AESDD
Layer 10,10,0.8774,0.8775,0.6904,0.1265,0.6923,0.187,0.5254,1.0,15,MERT,AESDD
Layer 11,11,0.8708,0.8708,0.7152,0.1325,0.716,0.1556,0.5085,1.0,15,MERT,AESDD
Layer 12,12,0.8725,0.8724,0.7086,0.1397,0.7085,0.1639,0.4915,1.0,15,MERT,AESDD
Layer 13,13,0.8625,0.8629,0.707,0.1594,0.7052,0.1555,0.4717,1.0,15,MERT,AESDD
Layer 14,14,0.8791,0.8792,0.7152,0.1348,0.715,0.1639,0.5254,1.0,15,MERT,AESDD
Layer 15,15,0.8642,0.864,0.6738,0.1697,0.6715,0.1904,0.3729,1.0,15,MERT,AESDD
Layer 16,16,0.8658,0.8657,0.6805,0.1556,0.6793,0.1853,0.4068,1.0,15,MERT,AESDD
Layer 17,17,0.8675,0.8676,0.6871,0.1499,0.6862,0.1804,0.4407,1.0,15,MERT,AESDD
Layer 18,18,0.8559,0.856,0.6937,0.1588,0.692,0.1622,0.4576,1.0,15,MERT,AESDD
Layer 19,19,0.8609,0.8609,0.6589,0.159,0.6608,0.202,0.4237,1.0,15,MERT,AESDD
Layer 20,20,0.8411,0.8413,0.654,0.1689,0.6537,0.1871,0.339,1.0,15,MERT,AESDD
Layer 21,21,0.8278,0.8283,0.6209,0.1732,0.6203,0.2069,0.322,1.0,15,MERT,AESDD
Layer 22,22,0.8278,0.8274,0.6358,0.1592,0.6377,0.192,0.4068,1.0,15,MERT,AESDD
Layer 23,23,0.8179,0.817,0.606,0.1652,0.6087,0.2119,0.3729,1.0,15,MERT,AESDD
Layer 24,24,0.8096,0.8097,0.6076,0.1738,0.6097,0.202,0.3519,1.0,15,MERT,AESDD
CNN,0,0.6659,0.6647,0.0,0.0,0.0,0.6659,0.0,0.0,6,MERT,MESD
Layer 1,1,0.7622,0.761,0.0,0.0,0.0,0.7622,0.0,0.0,6,MERT,MESD
Layer 2,2,0.8179,0.8167,0.0,0.0,0.0,0.8179,0.0,0.0,6,MERT,MESD
Layer 3,3,0.8411,0.8409,0.0,0.0,0.0,0.8411,0.0,0.0,6,MERT,MESD
Layer 4,4,0.8399,0.8394,0.0,0.0,0.0,0.8399,0.0,0.0,6,MERT,MESD
Layer 5,5,0.8573,0.8574,0.0,0.0,0.0,0.8573,0.0,0.0,6,MERT,MESD
Layer 6,6,0.8492,0.8489,0.0,0.0,0.0,0.8492,0.0,0.0,6,MERT,MESD
Layer 7,7,0.8689,0.8686,0.0,0.0,0.0,0.8689,0.0,0.0,6,MERT,MESD
Layer 8,8,0.8562,0.8564,0.0,0.0,0.0,0.8562,0.0,0.0,6,MERT,MESD
Layer 9,9,0.84,0.8397,0.0,0.0,0.0,0.84,0.0,0.0,6,MERT,MESD
Layer 10,10,0.8353,0.8352,0.0,0.0,0.0,0.8353,0.0,0.0,6,MERT,MESD
Layer 11,11,0.8237,0.8241,0.0,0.0,0.0,0.8237,0.0,0.0,6,MERT,MESD
Layer 12,12,0.8249,0.8249,0.0,0.0,0.0,0.8249,0.0,0.0,6,MERT,MESD
Layer 13,13,0.8365,0.8357,0.0,0.0,0.0,0.8365,0.0,0.0,6,MERT,MESD
Layer 14,14,0.8249,0.824,0.0,0.0,0.0,0.8249,0.0,0.0,6,MERT,MESD
Layer 15,15,0.8399,0.8391,0.0,0.0,0.0,0.8399,0.0,0.0,6,MERT,MESD
Layer 16,16,0.8156,0.8149,0.0,0.0,0.0,0.8156,0.0,0.0,6,MERT,MESD
Layer 17,17,0.8016,0.8,0.0,0.0,0.0,0.8016,0.0,0.0,6,MERT,MESD
Layer 18,18,0.8132,0.8131,0.0,0.0,0.0,0.8132,0.0,0.0,6,MERT,MESD
Layer 19,19,0.7912,0.7899,0.0,0.0,0.0,0.7912,0.0,0.0,6,MERT,MESD
Layer 20,20,0.7993,0.7983,0.0,0.0,0.0,0.7993,0.0,0.0,6,MERT,MESD
Layer 21,21,0.8074,0.8072,0.0,0.0,0.0,0.8074,0.0,0.0,6,MERT,MESD
Layer 22,22,0.8039,0.8029,0.0,0.0,0.0,0.8039,0.0,0.0,6,MERT,MESD
Layer 23,23,0.7866,0.7859,0.0,0.0,0.0,0.7866,0.0,0.0,6,MERT,MESD
Layer 24,24,0.7923,0.7916,0.0,0.0,0.0,0.7923,0.0,0.0,6,MERT,MESD
CNN,0,0.3519,0.3507,0.1926,0.0581,0.1922,0.1593,0.0667,0.2917,24,w2v-BERT,RAVDESS
Layer 1,1,0.8761,0.8763,0.5484,0.0906,0.5469,0.3277,0.3667,0.7083,24,w2v-BERT,RAVDESS
Layer 2,2,0.9244,0.9248,0.6408,0.1166,0.643,0.2836,0.3167,0.8333,24,w2v-BERT,RAVDESS
Layer 3,3,0.9417,0.9419,0.734,0.1203,0.7342,0.2077,0.4,0.9062,24,w2v-BERT,RAVDESS
Layer 4,4,0.9573,0.9573,0.7586,0.1137,0.7578,0.1987,0.4833,0.95,24,w2v-BERT,RAVDESS
Layer 5,5,0.9495,0.9496,0.7461,0.094,0.7469,0.2034,0.5667,0.9167,24,w2v-BERT,RAVDESS
Layer 6,6,0.9547,0.9549,0.7509,0.1101,0.7524,0.2038,0.5,0.95,24,w2v-BERT,RAVDESS
Layer 7,7,0.9568,0.9569,0.753,0.1248,0.7542,0.2038,0.35,0.8958,24,w2v-BERT,RAVDESS
Layer 8,8,0.9413,0.9412,0.7206,0.1153,0.7207,0.2207,0.3667,0.8917,24,w2v-BERT,RAVDESS
Layer 9,9,0.9503,0.9504,0.7681,0.097,0.7683,0.1822,0.6,0.95,24,w2v-BERT,RAVDESS
Layer 10,10,0.9568,0.9569,0.7768,0.0996,0.7774,0.18,0.5333,0.95,24,w2v-BERT,RAVDESS
Layer 11,11,0.9478,0.9478,0.7712,0.1007,0.7701,0.1766,0.6,0.9667,24,w2v-BERT,RAVDESS
Layer 12,12,0.9443,0.9444,0.7517,0.1044,0.7509,0.1926,0.5,0.9,24,w2v-BERT,RAVDESS
Layer 13,13,0.9447,0.9451,0.7638,0.1066,0.7634,0.1809,0.4833,0.95,24,w2v-BERT,RAVDESS
Layer 14,14,0.9486,0.9486,0.7608,0.1174,0.761,0.1878,0.5,0.95,24,w2v-BERT,RAVDESS
Layer 15,15,0.9503,0.9505,0.7578,0.1042,0.7571,0.1925,0.4833,0.9,24,w2v-BERT,RAVDESS
Layer 16,16,0.962,0.962,0.7945,0.1141,0.7948,0.1675,0.4667,0.95,24,w2v-BERT,RAVDESS
Layer 17,17,0.9655,0.9655,0.807,0.1118,0.8064,0.1585,0.5,0.9667,24,w2v-BERT,RAVDESS
Layer 18,18,0.9611,0.9612,0.744,0.138,0.7454,0.2171,0.3667,0.9667,24,w2v-BERT,RAVDESS
Layer 19,19,0.9516,0.9518,0.728,0.124,0.7294,0.2236,0.4417,0.9667,24,w2v-BERT,RAVDESS
Layer 20,20,0.9529,0.9531,0.7012,0.1435,0.7038,0.2517,0.3917,0.9167,24,w2v-BERT,RAVDESS
Layer 21,21,0.9391,0.9393,0.6874,0.1342,0.6885,0.2517,0.3333,0.9,24,w2v-BERT,RAVDESS
Layer 22,22,0.9201,0.9205,0.6585,0.1113,0.6587,0.2616,0.4167,0.9,24,w2v-BERT,RAVDESS
Layer 23,23,0.9162,0.9167,0.6161,0.1186,0.6152,0.3001,0.3667,0.8333,24,w2v-BERT,RAVDESS
Layer 24,24,0.8856,0.8858,0.5566,0.1242,0.5569,0.329,0.275,0.825,24,w2v-BERT,RAVDESS
CNN,0,0.4822,0.4802,0.4374,0.0875,0.4375,0.0448,0.3521,0.6571,10,w2v-BERT,EmoDB
Layer 1,1,0.8523,0.8506,0.785,0.0475,0.7822,0.0673,0.7324,0.8857,10,w2v-BERT,EmoDB
Layer 2,2,0.9252,0.9247,0.8841,0.0672,0.8837,0.0411,0.7632,0.9718,10,w2v-BERT,EmoDB
Layer 3,3,0.9589,0.9581,0.9103,0.0436,0.9096,0.0486,0.8214,1.0,10,w2v-BERT,EmoDB
Layer 4,4,0.9664,0.9661,0.9364,0.0396,0.9356,0.03,0.8592,1.0,10,w2v-BERT,EmoDB
Layer 5,5,0.9495,0.9491,0.929,0.0261,0.9286,0.0205,0.898,0.9714,10,w2v-BERT,EmoDB
Layer 6,6,0.9421,0.9419,0.9271,0.0359,0.9264,0.015,0.8852,1.0,10,w2v-BERT,EmoDB
Layer 7,7,0.9533,0.9522,0.9103,0.0427,0.9094,0.043,0.8451,1.0,10,w2v-BERT,EmoDB
Layer 8,8,0.9383,0.9382,0.8766,0.0261,0.8749,0.0617,0.8393,0.9273,10,w2v-BERT,EmoDB
Layer 9,9,0.9626,0.962,0.9159,0.0329,0.9151,0.0467,0.8421,0.9592,10,w2v-BERT,EmoDB
Layer 10,10,0.9458,0.9452,0.9196,0.0399,0.919,0.0262,0.8684,1.0,10,w2v-BERT,EmoDB
Layer 11,11,0.929,0.9285,0.914,0.0362,0.9132,0.015,0.8732,0.9828,10,w2v-BERT,EmoDB
Layer 12,12,0.929,0.9284,0.9047,0.0433,0.9046,0.0243,0.8421,0.9714,10,w2v-BERT,EmoDB
Layer 13,13,0.9308,0.9297,0.929,0.0429,0.9287,0.0018,0.8364,0.9767,10,w2v-BERT,EmoDB
Layer 14,14,0.9551,0.9546,0.9271,0.0306,0.9265,0.028,0.8873,0.9796,10,w2v-BERT,EmoDB
Layer 15,15,0.957,0.9565,0.9346,0.0332,0.9336,0.0224,0.8592,0.9828,10,w2v-BERT,EmoDB
Layer 16,16,0.9738,0.9734,0.9514,0.0282,0.9513,0.0224,0.918,1.0,10,w2v-BERT,EmoDB
Layer 17,17,0.9869,0.9868,0.9234,0.0636,0.9231,0.0635,0.7632,0.9796,10,w2v-BERT,EmoDB
Layer 18,18,0.9682,0.9678,0.9159,0.0394,0.9148,0.0523,0.8421,0.9636,10,w2v-BERT,EmoDB
Layer 19,19,0.9701,0.9699,0.9252,0.0185,0.9247,0.0449,0.8929,0.9535,10,w2v-BERT,EmoDB
Layer 20,20,0.9701,0.97,0.9103,0.045,0.9095,0.0598,0.8421,0.9836,10,w2v-BERT,EmoDB
Layer 21,21,0.9495,0.9494,0.8841,0.0658,0.8836,0.0654,0.7105,0.9429,10,w2v-BERT,EmoDB
Layer 22,22,0.9159,0.9157,0.8449,0.0547,0.842,0.071,0.7368,0.9275,10,w2v-BERT,EmoDB
Layer 23,23,0.9103,0.91,0.8299,0.0697,0.8286,0.0804,0.7069,0.913,10,w2v-BERT,EmoDB
Layer 24,24,0.843,0.8414,0.7383,0.0833,0.7351,0.1047,0.6034,0.8571,10,w2v-BERT,EmoDB
CNN,0,0.4168,0.4154,0.3819,0.0297,0.3812,0.0349,0.3355,0.4291,10,w2v-BERT,IEMOCAP
Layer 1,1,0.5806,0.5806,0.5209,0.0345,0.5201,0.0597,0.4718,0.5703,10,w2v-BERT,IEMOCAP
Layer 2,2,0.5934,0.5932,0.5575,0.0353,0.5568,0.0359,0.5136,0.6235,10,w2v-BERT,IEMOCAP
Layer 3,3,0.63,0.6299,0.594,0.0393,0.5933,0.036,0.5141,0.6427,10,w2v-BERT,IEMOCAP
Layer 4,4,0.6315,0.6312,0.6015,0.0354,0.6011,0.03,0.5348,0.6637,10,w2v-BERT,IEMOCAP
Layer 5,5,0.6348,0.6344,0.6086,0.0232,0.6083,0.0262,0.5574,0.6367,10,w2v-BERT,IEMOCAP
Layer 6,6,0.6465,0.6467,0.6201,0.0311,0.6198,0.0264,0.548,0.666,10,w2v-BERT,IEMOCAP
Layer 7,7,0.6441,0.6442,0.6181,0.0286,0.618,0.026,0.5631,0.669,10,w2v-BERT,IEMOCAP
Layer 8,8,0.6361,0.6356,0.6016,0.0287,0.6013,0.0345,0.5273,0.6445,10,w2v-BERT,IEMOCAP
Layer 9,9,0.6577,0.6575,0.6295,0.0331,0.6292,0.0282,0.5593,0.6845,10,w2v-BERT,IEMOCAP
Layer 10,10,0.6531,0.6529,0.62,0.02,0.6193,0.0331,0.5687,0.641,10,w2v-BERT,IEMOCAP
Layer 11,11,0.6403,0.6402,0.6212,0.0292,0.6209,0.0191,0.5386,0.6402,10,w2v-BERT,IEMOCAP
Layer 12,12,0.639,0.6387,0.6108,0.0339,0.6105,0.0282,0.5461,0.6587,10,w2v-BERT,IEMOCAP
Layer 13,13,0.633,0.6326,0.6139,0.0221,0.6136,0.0191,0.5631,0.6504,10,w2v-BERT,IEMOCAP
Layer 14,14,0.65,0.6501,0.626,0.0252,0.6257,0.024,0.5876,0.6771,10,w2v-BERT,IEMOCAP
Layer 15,15,0.652,0.6517,0.6262,0.0272,0.6261,0.0258,0.565,0.6532,10,w2v-BERT,IEMOCAP
Layer 16,16,0.6692,0.6694,0.6396,0.0238,0.6394,0.0296,0.5913,0.6753,10,w2v-BERT,IEMOCAP
Layer 17,17,0.6601,0.66,0.6328,0.0354,0.6322,0.0273,0.5669,0.6914,10,w2v-BERT,IEMOCAP
Layer 18,18,0.6582,0.6582,0.6266,0.0285,0.6261,0.0316,0.5744,0.6699,10,w2v-BERT,IEMOCAP
Layer 19,19,0.6571,0.6571,0.6253,0.0329,0.6248,0.0318,0.5749,0.6875,10,w2v-BERT,IEMOCAP
Layer 20,20,0.6385,0.6383,0.6158,0.0202,0.6157,0.0227,0.58,0.6523,10,w2v-BERT,IEMOCAP
Layer 21,21,0.6478,0.6476,0.6236,0.029,0.6231,0.0242,0.5687,0.6637,10,w2v-BERT,IEMOCAP
Layer 22,22,0.6231,0.623,0.5857,0.0376,0.5856,0.0374,0.5179,0.6497,10,w2v-BERT,IEMOCAP
Layer 23,23,0.6055,0.6055,0.574,0.0262,0.5739,0.0315,0.528,0.6095,10,w2v-BERT,IEMOCAP
Layer 24,24,0.5925,0.5923,0.5689,0.0231,0.5686,0.0236,0.5339,0.6089,10,w2v-BERT,IEMOCAP
CNN,0,0.3021,0.3049,0.2271,0.0446,0.2297,0.075,0.1833,0.3,4,w2v-BERT,SAVEE
Layer 1,1,0.675,0.6713,0.4062,0.1119,0.4007,0.2688,0.2917,0.5417,4,w2v-BERT,SAVEE
Layer 2,2,0.7333,0.7305,0.4417,0.1308,0.4359,0.2916,0.2917,0.5917,4,w2v-BERT,SAVEE
Layer 3,3,0.7688,0.7679,0.5229,0.1349,0.5143,0.2458,0.3083,0.65,4,w2v-BERT,SAVEE
Layer 4,4,0.7917,0.7916,0.5479,0.1322,0.5343,0.2438,0.325,0.6583,4,w2v-BERT,SAVEE
Layer 5,5,0.7729,0.7696,0.5854,0.1314,0.5752,0.1875,0.3833,0.725,4,w2v-BERT,SAVEE
Layer 6,6,0.7896,0.7856,0.5604,0.1242,0.5449,0.2292,0.3583,0.6667,4,w2v-BERT,SAVEE
Layer 7,7,0.7792,0.78,0.5396,0.1344,0.5236,0.2396,0.3333,0.675,4,w2v-BERT,SAVEE
Layer 8,8,0.7479,0.7472,0.4583,0.1026,0.433,0.2896,0.3167,0.5917,4,w2v-BERT,SAVEE
Layer 9,9,0.8083,0.8068,0.5687,0.1199,0.5597,0.2396,0.3667,0.6667,4,w2v-BERT,SAVEE
Layer 10,10,0.8167,0.8177,0.5771,0.1151,0.5744,0.2396,0.3833,0.675,4,w2v-BERT,SAVEE
Layer 11,11,0.8062,0.8058,0.6083,0.1285,0.5997,0.198,0.3917,0.725,4,w2v-BERT,SAVEE
Layer 12,12,0.7958,0.7951,0.6333,0.1332,0.6226,0.1625,0.4083,0.75,4,w2v-BERT,SAVEE
Layer 13,13,0.7979,0.7973,0.6646,0.1697,0.6546,0.1333,0.375,0.8083,4,w2v-BERT,SAVEE
Layer 14,14,0.7938,0.7905,0.6292,0.1094,0.6156,0.1645,0.45,0.7417,4,w2v-BERT,SAVEE
Layer 15,15,0.775,0.774,0.6083,0.1542,0.594,0.1667,0.35,0.7583,4,w2v-BERT,SAVEE
Layer 16,16,0.8292,0.829,0.6479,0.1623,0.6372,0.1813,0.3833,0.825,4,w2v-BERT,SAVEE
Layer 17,17,0.8292,0.829,0.6021,0.1625,0.5742,0.2271,0.375,0.8333,4,w2v-BERT,SAVEE
Layer 18,18,0.8167,0.8153,0.5604,0.155,0.5292,0.2563,0.3333,0.75,4,w2v-BERT,SAVEE
Layer 19,19,0.7979,0.7955,0.5333,0.1809,0.5107,0.2646,0.2833,0.7333,4,w2v-BERT,SAVEE
Layer 20,20,0.7958,0.7941,0.5542,0.1728,0.5372,0.2416,0.3,0.7333,4,w2v-BERT,SAVEE
Layer 21,21,0.7688,0.7668,0.4917,0.152,0.464,0.277,0.3333,0.675,4,w2v-BERT,SAVEE
Layer 22,22,0.7229,0.7232,0.4354,0.1474,0.4144,0.2875,0.2917,0.6667,4,w2v-BERT,SAVEE
Layer 23,23,0.6854,0.683,0.3937,0.1106,0.3814,0.2917,0.3,0.575,4,w2v-BERT,SAVEE
Layer 24,24,0.6021,0.5982,0.3187,0.0836,0.3081,0.2834,0.225,0.425,4,w2v-BERT,SAVEE
CNN,0,0.2947,0.2949,0.1937,0.0864,0.1938,0.101,0.0492,0.3333,15,w2v-BERT,AESDD
Layer 1,1,0.6424,0.6399,0.495,0.1688,0.496,0.1474,0.1667,0.8333,15,w2v-BERT,AESDD
Layer 2,2,0.7549,0.7543,0.5745,0.1311,0.5746,0.1804,0.339,0.8333,15,w2v-BERT,AESDD
Layer 3,3,0.8559,0.8551,0.7334,0.1457,0.7319,0.1225,0.5,1.0,15,w2v-BERT,AESDD
Layer 4,4,0.8874,0.8864,0.7715,0.1021,0.7703,0.1159,0.5763,1.0,15,w2v-BERT,AESDD
Layer 5,5,0.8858,0.8851,0.7798,0.0961,0.7794,0.106,0.6441,1.0,15,w2v-BERT,AESDD
Layer 6,6,0.8742,0.8734,0.7649,0.0876,0.765,0.1093,0.6441,1.0,15,w2v-BERT,AESDD
Layer 7,7,0.8759,0.8761,0.7699,0.0779,0.771,0.106,0.6667,1.0,15,w2v-BERT,AESDD
Layer 8,8,0.856,0.8559,0.7252,0.1088,0.724,0.1308,0.5932,1.0,15,w2v-BERT,AESDD
Layer 9,9,0.9089,0.9085,0.7881,0.095,0.7874,0.1208,0.6271,1.0,15,w2v-BERT,AESDD
Layer 10,10,0.8824,0.8813,0.75,0.1265,0.7489,0.1324,0.5,1.0,15,w2v-BERT,AESDD
Layer 11,11,0.8659,0.8649,0.7119,0.1247,0.7115,0.154,0.5,1.0,15,w2v-BERT,AESDD
Layer 12,12,0.8328,0.8333,0.6391,0.137,0.6394,0.1937,0.3889,0.8333,15,w2v-BERT,AESDD
Layer 13,13,0.841,0.8399,0.5993,0.1424,0.6002,0.2417,0.4237,0.8333,15,w2v-BERT,AESDD
Layer 14,14,0.8477,0.8464,0.6805,0.1919,0.6797,0.1672,0.3704,1.0,15,w2v-BERT,AESDD
Layer 15,15,0.8742,0.8736,0.7301,0.1534,0.7285,0.1441,0.5,1.0,15,w2v-BERT,AESDD
Layer 16,16,0.9238,0.9234,0.803,0.1159,0.8014,0.1208,0.6481,1.0,15,w2v-BERT,AESDD
Layer 17,17,0.947,0.9466,0.8609,0.0806,0.8604,0.0861,0.7778,1.0,15,w2v-BERT,AESDD
Layer 18,18,0.9239,0.9238,0.8328,0.1061,0.8312,0.0911,0.6667,1.0,15,w2v-BERT,AESDD
Layer 19,19,0.9106,0.9107,0.8096,0.1003,0.8088,0.101,0.6667,1.0,15,w2v-BERT,AESDD
Layer 20,20,0.8825,0.8822,0.75,0.1156,0.7478,0.1325,0.5254,1.0,15,w2v-BERT,AESDD
Layer 21,21,0.8444,0.8438,0.702,0.1408,0.6984,0.1424,0.3898,1.0,15,w2v-BERT,AESDD
Layer 22,22,0.7915,0.7899,0.6126,0.186,0.6102,0.1789,0.322,1.0,15,w2v-BERT,AESDD
Layer 23,23,0.7434,0.7433,0.5613,0.1567,0.5614,0.1821,0.2712,0.8333,15,w2v-BERT,AESDD
Layer 24,24,0.6242,0.6233,0.4421,0.1189,0.4478,0.1821,0.2593,0.6667,15,w2v-BERT,AESDD
CNN,0,0.3201,0.3164,0.0,0.0,0.0,0.3201,0.0,0.0,6,w2v-BERT,MESD
Layer 1,1,0.6984,0.6971,0.0,0.0,0.0,0.6984,0.0,0.0,6,w2v-BERT,MESD
Layer 2,2,0.768,0.7672,0.0,0.0,0.0,0.768,0.0,0.0,6,w2v-BERT,MESD
Layer 3,3,0.8318,0.8317,0.0,0.0,0.0,0.8318,0.0,0.0,6,w2v-BERT,MESD
Layer 4,4,0.8388,0.8385,0.0,0.0,0.0,0.8388,0.0,0.0,6,w2v-BERT,MESD
Layer 5,5,0.8492,0.8496,0.0,0.0,0.0,0.8492,0.0,0.0,6,w2v-BERT,MESD
Layer 6,6,0.8307,0.8306,0.0,0.0,0.0,0.8307,0.0,0.0,6,w2v-BERT,MESD
Layer 7,7,0.8237,0.8235,0.0,0.0,0.0,0.8237,0.0,0.0,6,w2v-BERT,MESD
Layer 8,8,0.8087,0.8079,0.0,0.0,0.0,0.8087,0.0,0.0,6,w2v-BERT,MESD
Layer 9,9,0.8214,0.8196,0.0,0.0,0.0,0.8214,0.0,0.0,6,w2v-BERT,MESD
Layer 10,10,0.8283,0.8283,0.0,0.0,0.0,0.8283,0.0,0.0,6,w2v-BERT,MESD
Layer 11,11,0.8039,0.8022,0.0,0.0,0.0,0.8039,0.0,0.0,6,w2v-BERT,MESD
Layer 12,12,0.7761,0.7753,0.0,0.0,0.0,0.7761,0.0,0.0,6,w2v-BERT,MESD
Layer 13,13,0.7761,0.7749,0.0,0.0,0.0,0.7761,0.0,0.0,6,w2v-BERT,MESD
Layer 14,14,0.8063,0.8059,0.0,0.0,0.0,0.8063,0.0,0.0,6,w2v-BERT,MESD
Layer 15,15,0.8086,0.8083,0.0,0.0,0.0,0.8086,0.0,0.0,6,w2v-BERT,MESD
Layer 16,16,0.8353,0.8353,0.0,0.0,0.0,0.8353,0.0,0.0,6,w2v-BERT,MESD
Layer 17,17,0.8689,0.8687,0.0,0.0,0.0,0.8689,0.0,0.0,6,w2v-BERT,MESD
Layer 18,18,0.8458,0.8466,0.0,0.0,0.0,0.8458,0.0,0.0,6,w2v-BERT,MESD
Layer 19,19,0.8458,0.8449,0.0,0.0,0.0,0.8458,0.0,0.0,6,w2v-BERT,MESD
Layer 20,20,0.8202,0.82,0.0,0.0,0.0,0.8202,0.0,0.0,6,w2v-BERT,MESD
Layer 21,21,0.7785,0.777,0.0,0.0,0.0,0.7785,0.0,0.0,6,w2v-BERT,MESD
Layer 22,22,0.7437,0.7427,0.0,0.0,0.0,0.7437,0.0,0.0,6,w2v-BERT,MESD
Layer 23,23,0.7204,0.7204,0.0,0.0,0.0,0.7204,0.0,0.0,6,w2v-BERT,MESD
Layer 24,24,0.6346,0.632,0.0,0.0,0.0,0.6346,0.0,0.0,6,w2v-BERT,MESD
