Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
CNN,0,0.5677,0.0052,0.5414,MERT,10,7,4-Class (A/H/N/S)
Layer 1,1,0.5597,0.0126,0.5446,MERT,10,7,4-Class (A/H/N/S)
Layer 2,2,0.5554,0.0114,0.546,MERT,10,7,4-Class (A/H/N/S)
Layer 3,3,0.5546,0.0067,0.5479,MERT,10,7,4-Class (A/H/N/S)
Layer 4,4,0.56,0.0063,0.5543,MERT,10,7,4-Class (A/H/N/S)
Layer 5,5,0.5564,0.0088,0.5521,MERT,10,7,4-Class (A/H/N/S)
Layer 6,6,0.5602,0.0072,0.5566,MERT,10,7,4-Class (A/H/N/S)
Layer 7,7,0.5629,0.0091,0.56,MERT,10,7,4-Class (A/H/N/S)
Layer 8,8,0.5594,0.0047,0.5571,MERT,10,7,4-Class (A/H/N/S)
Layer 9,9,0.5609,0.0061,0.5577,MERT,10,7,4-Class (A/H/N/S)
Layer 10,10,0.5618,0.0099,0.559,MERT,10,7,4-Class (A/H/N/S)
Layer 11,11,0.5582,0.0082,0.5541,MERT,10,7,4-Class (A/H/N/S)
Layer 12,12,0.557,0.0066,0.5527,MERT,10,7,4-Class (A/H/N/S)
Layer 13,13,0.5542,0.008,0.5502,MERT,10,7,4-Class (A/H/N/S)
Layer 14,14,0.5584,0.0071,0.5535,MERT,10,7,4-Class (A/H/N/S)
Layer 15,15,0.5527,0.007,0.5482,MERT,10,7,4-Class (A/H/N/S)
Layer 16,16,0.553,0.0057,0.5498,MERT,10,7,4-Class (A/H/N/S)
Layer 17,17,0.5466,0.008,0.5424,MERT,10,7,4-Class (A/H/N/S)
Layer 18,18,0.5477,0.0064,0.544,MERT,10,7,4-Class (A/H/N/S)
Layer 19,19,0.5501,0.009,0.5476,MERT,10,7,4-Class (A/H/N/S)
Layer 20,20,0.5476,0.0098,0.5449,MERT,10,7,4-Class (A/H/N/S)
Layer 21,21,0.5492,0.0056,0.5462,MERT,10,7,4-Class (A/H/N/S)
Layer 22,22,0.5523,0.0038,0.5491,MERT,10,7,4-Class (A/H/N/S)
Layer 23,23,0.555,0.003,0.5517,MERT,10,7,4-Class (A/H/N/S)
Layer 24,24,0.5525,0.0097,0.5485,MERT,10,7,4-Class (A/H/N/S)
CNN,0,0.5808,0.005,0.5565,MERT,20,7,4-Class (A/H/N/S)
Layer 1,1,0.5745,0.007,0.561,MERT,20,7,4-Class (A/H/N/S)
Layer 2,2,0.5656,0.0081,0.5582,MERT,20,7,4-Class (A/H/N/S)
Layer 3,3,0.566,0.0081,0.5596,MERT,20,7,4-Class (A/H/N/S)
Layer 4,4,0.5702,0.0083,0.5644,MERT,20,7,4-Class (A/H/N/S)
Layer 5,5,0.5722,0.0072,0.5677,MERT,20,7,4-Class (A/H/N/S)
Layer 6,6,0.5726,0.0087,0.5699,MERT,20,7,4-Class (A/H/N/S)
Layer 7,7,0.5751,0.0078,0.5718,MERT,20,7,4-Class (A/H/N/S)
Layer 8,8,0.5634,0.0098,0.5601,MERT,20,7,4-Class (A/H/N/S)
Layer 9,9,0.5716,0.0081,0.5673,MERT,20,7,4-Class (A/H/N/S)
Layer 10,10,0.5659,0.0111,0.5629,MERT,20,7,4-Class (A/H/N/S)
Layer 11,11,0.5655,0.0018,0.5624,MERT,20,7,4-Class (A/H/N/S)
Layer 12,12,0.5683,0.0087,0.5634,MERT,20,7,4-Class (A/H/N/S)
Layer 13,13,0.5657,0.0111,0.561,MERT,20,7,4-Class (A/H/N/S)
Layer 14,14,0.5681,0.0084,0.5643,MERT,20,7,4-Class (A/H/N/S)
Layer 15,15,0.5647,0.0083,0.5606,MERT,20,7,4-Class (A/H/N/S)
Layer 16,16,0.5578,0.0083,0.5547,MERT,20,7,4-Class (A/H/N/S)
Layer 17,17,0.5598,0.0066,0.5563,MERT,20,7,4-Class (A/H/N/S)
Layer 18,18,0.5603,0.0076,0.557,MERT,20,7,4-Class (A/H/N/S)
Layer 19,19,0.5605,0.0073,0.5581,MERT,20,7,4-Class (A/H/N/S)
Layer 20,20,0.5619,0.0042,0.5583,MERT,20,7,4-Class (A/H/N/S)
Layer 21,21,0.5624,0.0081,0.5596,MERT,20,7,4-Class (A/H/N/S)
Layer 22,22,0.5643,0.0045,0.5612,MERT,20,7,4-Class (A/H/N/S)
Layer 23,23,0.5629,0.0052,0.5591,MERT,20,7,4-Class (A/H/N/S)
Layer 24,24,0.5648,0.0072,0.561,MERT,20,7,4-Class (A/H/N/S)
CNN,0,0.5579,0.0082,0.5301,MERT,5,7,4-Class (A/H/N/S)
Layer 1,1,0.5483,0.0069,0.5337,MERT,5,7,4-Class (A/H/N/S)
Layer 2,2,0.5524,0.0111,0.543,MERT,5,7,4-Class (A/H/N/S)
Layer 3,3,0.5508,0.0077,0.5426,MERT,5,7,4-Class (A/H/N/S)
Layer 4,4,0.5556,0.0085,0.549,MERT,5,7,4-Class (A/H/N/S)
Layer 5,5,0.5566,0.0073,0.5516,MERT,5,7,4-Class (A/H/N/S)
Layer 6,6,0.5564,0.01,0.5519,MERT,5,7,4-Class (A/H/N/S)
Layer 7,7,0.5563,0.0064,0.5528,MERT,5,7,4-Class (A/H/N/S)
Layer 8,8,0.5533,0.0053,0.5498,MERT,5,7,4-Class (A/H/N/S)
Layer 9,9,0.5552,0.0103,0.5512,MERT,5,7,4-Class (A/H/N/S)
Layer 10,10,0.5554,0.0056,0.5523,MERT,5,7,4-Class (A/H/N/S)
Layer 11,11,0.5578,0.0059,0.5544,MERT,5,7,4-Class (A/H/N/S)
Layer 12,12,0.554,0.0082,0.5495,MERT,5,7,4-Class (A/H/N/S)
Layer 13,13,0.5567,0.0059,0.552,MERT,5,7,4-Class (A/H/N/S)
Layer 14,14,0.552,0.0071,0.5467,MERT,5,7,4-Class (A/H/N/S)
Layer 15,15,0.5499,0.0054,0.545,MERT,5,7,4-Class (A/H/N/S)
Layer 16,16,0.5458,0.0063,0.5414,MERT,5,7,4-Class (A/H/N/S)
Layer 17,17,0.5455,0.0028,0.5418,MERT,5,7,4-Class (A/H/N/S)
Layer 18,18,0.5436,0.0013,0.5392,MERT,5,7,4-Class (A/H/N/S)
Layer 19,19,0.544,0.0044,0.5398,MERT,5,7,4-Class (A/H/N/S)
Layer 20,20,0.5433,0.0037,0.5395,MERT,5,7,4-Class (A/H/N/S)
Layer 21,21,0.5446,0.0075,0.5408,MERT,5,7,4-Class (A/H/N/S)
Layer 22,22,0.5496,0.007,0.5453,MERT,5,7,4-Class (A/H/N/S)
Layer 23,23,0.5487,0.0051,0.5447,MERT,5,7,4-Class (A/H/N/S)
Layer 24,24,0.5506,0.0076,0.5466,MERT,5,7,4-Class (A/H/N/S)
CNN,0,0.6198,0.0092,0.5965,WavLM,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.6166,0.0082,0.6058,WavLM,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.6009,0.0046,0.5936,WavLM,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.6061,0.0016,0.6014,WavLM,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.6014,0.0054,0.5982,WavLM,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.5988,0.0032,0.5955,WavLM,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.6037,0.0136,0.6011,WavLM,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.6055,0.0054,0.6029,WavLM,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.6053,0.0051,0.6028,WavLM,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.6057,0.0087,0.6041,WavLM,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.6078,0.0026,0.6055,WavLM,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.6085,0.0073,0.6067,WavLM,clean,7,4-Class (A/H/N/S)
