Model,Dataset,Metric,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
HuBERT,AESDD,procrustes,0.6796802878379822,0.6641799211502075,0.6678460538387299,0.6776168644428253,0.6817093193531036,0.6860876381397247,0.6932346820831299,0.6963894963264465,0.6913707554340363,0.6905681788921356,0.6986078917980194,0.7199900150299072,0.7409338057041168,0.7500614076852798,0.7462792098522186,0.7445900440216064,0.7424014508724213,0.744458943605423,0.7551916539669037,0.7496143281459808,0.7450082898139954,0.7320684492588043,0.7262867987155914,0.7352098226547241,0.7297592759132385
HuBERT,AESDD,centroid_transfer,0.423841059602649,0.3890728476821192,0.42549668874172186,0.4685430463576159,0.4718543046357616,0.4685430463576159,0.478476821192053,0.4867549668874172,0.4718543046357616,0.45364238410596025,0.47516556291390727,0.4768211920529801,0.48013245033112584,0.4602649006622517,0.4304635761589404,0.3990066225165563,0.3990066225165563,0.3973509933774834,0.40728476821192056,0.402317880794702,0.40397350993377484,0.40894039735099336,0.4420529801324503,0.4370860927152318,0.36920529801324503
HuBERT,MESD,cka,0.05266291752805386,0.02453288391862371,0.023404465743933293,0.023531878390305922,0.021098343782415544,0.020110007755086673,0.01871721687652698,0.01903481694667029,0.01842874337168814,0.01838665390878017,0.017973287729394,0.01850985093912016,0.018485464347786074,0.016856829524390167,0.016775380338058605,0.016430481987047305,0.017720690301121188,0.01865242279217316,0.021372668205822103,0.021989383132133947,0.023263153508475166,0.02489583218495451,0.024661551085135715,0.029891701479111833,0.03479511636251619
HuBERT,MESD,procrustes,0.7194744944572449,0.6820851862430573,0.6697843372821808,0.668510764837265,0.6601709723472595,0.65889772772789,0.65241938829422,0.6509890854358673,0.6457746624946594,0.6412957906723022,0.649022251367569,0.6540886163711548,0.6548454165458679,0.6396451592445374,0.6371549069881439,0.6340314447879791,0.6459363400936127,0.6497783362865448,0.6697554886341095,0.679405152797699,0.6890423893928528,0.6974874138832092,0.7096641659736633,0.7450188994407654,0.7372987866401672
HuBERT,MESD,centroid_transfer,0.40023201856148494,0.3990719257540603,0.39675174013921116,0.3990719257540603,0.39675174013921116,0.3990719257540603,0.4013921113689095,0.4025522041763341,0.39559164733178653,0.3909512761020882,0.388631090487239,0.39443155452436196,0.39443155452436196,0.37703016241299303,0.3689095127610209,0.3642691415313225,0.37470997679814383,0.37819025522041766,0.39443155452436196,0.4013921113689095,0.4071925754060325,0.4013921113689095,0.4048723897911833,0.3677494199535963,0.38167053364269143
HuBERT,MSP-Podcast,cka,0.010664455759922918,0.007119444906462474,0.006880744234352565,0.006737972825599926,0.006114152691647703,0.005820524332362832,0.00616559784271554,0.006006431342251375,0.005349448043779598,0.005065115603791694,0.005615816934453632,0.0058444673885380185,0.006906845102040444,0.006543517364818309,0.006867119866681485,0.006518772421712213,0.007028923137938356,0.007250447876584755,0.007714056961213609,0.007181584481009033,0.006892129567481236,0.007190501399044369,0.012817644376831642,0.016416075983367865,0.006312908898763034
HuBERT,MSP-Podcast,procrustes,0.7858061343431473,0.7955276817083359,0.7893087416887283,0.7794872671365738,0.7736906111240387,0.7686384171247482,0.7691948413848877,0.7630458027124405,0.7512353658676147,0.736810714006424,0.7344247698783875,0.7273781597614288,0.7353044152259827,0.7427936792373657,0.7411361038684845,0.7373421490192413,0.7380487620830536,0.7387087941169739,0.7535762637853622,0.7593122869729996,0.7692866772413254,0.7647463232278824,0.7629982531070709,0.7248876094818115,0.7473159730434418
HuBERT,MSP-Podcast,centroid_transfer,0.30735689767139807,0.3194173856572966,0.321087299378421,0.3156136932925132,0.3105111791446331,0.3175619259671584,0.3185824287967344,0.31236663883477134,0.29845069115873457,0.3025327024770387,0.2968735504221171,0.2732164393728546,0.28620465720382227,0.28054550514890064,0.2648668707672326,0.2642174598756842,0.2804527321643937,0.30995454123759164,0.3096762222840709,0.32340662399109377,0.30902681139252247,0.3077279896094257,0.3824102421374896,0.37433899248538827,0.38231746915298265
Whisper,RAVDESS,cka,0.09888280452967507,0.10153106700248622,0.1039951102475837,0.10619347095963719,0.10693650445180529,0.10719876562112839,0.10954574677794646,0.11037579427507983,0.04939519305746039,0.04875654562656656,0.04888231757568071,0.04840916259299652,0.04783579437032483,0.047117005156449655,0.04675218080635108,0.046759883517380474,0.04640379864032677,0.04617151187597934,0.04588381174872117,0.04538915580230753,0.04540394168699634,0.045276932664824576,0.045368981943276605,0.045771092755065336,0.1329069693890173
Whisper,RAVDESS,procrustes,0.453744113445282,0.5029006004333496,0.5335968136787415,0.5697039663791656,0.5849581956863403,0.5922949016094208,0.6043544113636017,0.6095110774040222,0.5342021286487579,0.5345953702926636,0.5334163308143616,0.5371872782707214,0.5356152951717377,0.5257197320461273,0.5219132900238037,0.5230384469032288,0.5252880156040192,0.5207547843456268,0.5212885141372681,0.5162054002285004,0.5150927603244781,0.5209492743015289,0.5331966578960419,0.5351968705654144,0.7555232346057892
