Layer,Layer_Num,RMSE,Target,SNR
Layer 24,24,0.8024,EmoAct,5
CNN,0,0.8062,EmoDom,5
Layer 1,1,0.7564,EmoDom,5
Layer 2,2,0.7369,EmoDom,5
Layer 3,3,0.7205,EmoDom,5
Layer 4,4,0.7176,EmoDom,5
Layer 5,5,0.7202,EmoDom,5
Layer 6,6,0.7184,EmoDom,5
Layer 7,7,0.7197,EmoDom,5
Layer 8,8,0.7218,EmoDom,5
Layer 9,9,0.7175,EmoDom,5
Layer 10,10,0.7193,EmoDom,5
Layer 11,11,0.7221,EmoDom,5
Layer 12,12,0.7232,EmoDom,5
Layer 13,13,0.727,EmoDom,5
Layer 14,14,0.7219,EmoDom,5
Layer 15,15,0.7213,EmoDom,5
Layer 16,16,0.7181,EmoDom,5
Layer 17,17,0.7158,EmoDom,5
Layer 18,18,0.7199,EmoDom,5
Layer 19,19,0.7233,EmoDom,5
Layer 20,20,0.7251,EmoDom,5
Layer 21,21,0.7285,EmoDom,5
Layer 22,22,0.7355,EmoDom,5
Layer 23,23,0.7401,EmoDom,5
Layer 24,24,0.7467,EmoDom,5
CNN,0,0.9649,EmoVal,20
Layer 1,1,0.9402,EmoVal,20
Layer 2,2,0.9227,EmoVal,20
Layer 3,3,0.9023,EmoVal,20
Layer 4,4,0.8982,EmoVal,20
Layer 5,5,0.8973,EmoVal,20
Layer 6,6,0.895,EmoVal,20
Layer 7,7,0.895,EmoVal,20
Layer 8,8,0.9017,EmoVal,20
Layer 9,9,0.895,EmoVal,20
Layer 10,10,0.8885,EmoVal,20
Layer 11,11,0.8816,EmoVal,20
Layer 12,12,0.8699,EmoVal,20
Layer 13,13,0.8671,EmoVal,20
Layer 14,14,0.8693,EmoVal,20
Layer 15,15,0.8767,EmoVal,20
Layer 16,16,0.8815,EmoVal,20
Layer 17,17,0.8804,EmoVal,20
Layer 18,18,0.8901,EmoVal,20
Layer 19,19,0.8952,EmoVal,20
Layer 20,20,0.9023,EmoVal,20
Layer 21,21,0.9057,EmoVal,20
Layer 22,22,0.9122,EmoVal,20
Layer 23,23,0.9231,EmoVal,20
Layer 24,24,0.9337,EmoVal,20
CNN,0,0.927,EmoAct,10
Layer 1,1,0.8071,EmoAct,10
Layer 2,2,0.7761,EmoAct,10
Layer 3,3,0.751,EmoAct,10
Layer 4,4,0.7483,EmoAct,10
Layer 5,5,0.749,EmoAct,10
Layer 6,6,0.7464,EmoAct,10
Layer 7,7,0.7506,EmoAct,10
Layer 8,8,0.7527,EmoAct,10
Layer 9,9,0.7473,EmoAct,10
Layer 10,10,0.7477,EmoAct,10
Layer 11,11,0.7486,EmoAct,10
Layer 12,12,0.7569,EmoAct,10
Layer 13,13,0.7568,EmoAct,10
Layer 14,14,0.7547,EmoAct,10
Layer 15,15,0.7488,EmoAct,10
Layer 16,16,0.7441,EmoAct,10
Layer 17,17,0.7409,EmoAct,10
Layer 18,18,0.7489,EmoAct,10
Layer 19,19,0.7543,EmoAct,10
Layer 20,20,0.7557,EmoAct,10
Layer 21,21,0.7613,EmoAct,10
Layer 22,22,0.7718,EmoAct,10
Layer 23,23,0.7809,EmoAct,10
Layer 24,24,0.7942,EmoAct,10
