Layer,Layer_Num,RMSE,Target,SNR
CNN,0,0.7179,EmoDom,20
Layer 1,1,0.7047,EmoDom,20
Layer 2,2,0.7013,EmoDom,20
Layer 3,3,0.6993,EmoDom,20
Layer 4,4,0.6944,EmoDom,20
Layer 5,5,0.692,EmoDom,20
Layer 6,6,0.6906,EmoDom,20
Layer 7,7,0.6919,EmoDom,20
Layer 8,8,0.6916,EmoDom,20
Layer 9,9,0.6901,EmoDom,20
Layer 10,10,0.6904,EmoDom,20
Layer 11,11,0.6891,EmoDom,20
Layer 12,12,0.688,EmoDom,20
Layer 13,13,0.6889,EmoDom,20
Layer 14,14,0.6895,EmoDom,20
Layer 15,15,0.6896,EmoDom,20
Layer 16,16,0.6892,EmoDom,20
Layer 17,17,0.6898,EmoDom,20
Layer 18,18,0.6896,EmoDom,20
Layer 19,19,0.6902,EmoDom,20
Layer 20,20,0.6894,EmoDom,20
Layer 21,21,0.6887,EmoDom,20
Layer 22,22,0.6877,EmoDom,20
Layer 23,23,0.6889,EmoDom,20
Layer 24,24,0.6899,EmoDom,20
