Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
Layer 20,20,0.6563,,0.6055,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 21,21,0.5818,,0.5125,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 22,22,0.5093,,0.468,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 23,23,0.5052,,0.4712,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
Layer 24,24,0.4658,,0.4457,LOLO_Greek,,w2v-BERT,Greek,3497.0,483.0
CNN,0,0.2587,,0.2395,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 1,1,0.3299,,0.3029,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 2,2,0.3854,,0.3666,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 3,3,0.467,,0.442,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 4,4,0.5087,,0.4856,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 5,5,0.5365,,0.5221,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 6,6,0.5052,,0.4969,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 7,7,0.4826,,0.4821,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 8,8,0.5017,,0.4974,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 9,9,0.5226,,0.5085,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 10,10,0.5729,,0.564,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 11,11,0.5208,,0.489,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 12,12,0.4878,,0.4599,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 13,13,0.4774,,0.4619,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 14,14,0.533,,0.5254,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 15,15,0.5399,,0.5316,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 16,16,0.5122,,0.5192,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 17,17,0.4844,,0.4696,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 18,18,0.4931,,0.4912,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 19,19,0.4618,,0.4505,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 20,20,0.4583,,0.4558,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 21,21,0.4497,,0.4422,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 22,22,0.4688,,0.4488,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 23,23,0.408,,0.392,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
Layer 24,24,0.3715,,0.329,LOLO_Spanish,,w2v-BERT,Spanish,3404.0,576.0
