Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 11,11,0.5885,0.0165,0.588,WavLM,IEMOCAP,10
Layer 12,12,0.5802,0.0158,0.5799,WavLM,IEMOCAP,10
Layer 13,13,0.5722,0.0179,0.5719,WavLM,IEMOCAP,10
Layer 14,14,0.5694,0.0121,0.5692,WavLM,IEMOCAP,10
Layer 15,15,0.5786,0.0109,0.5785,WavLM,IEMOCAP,10
Layer 16,16,0.5753,0.0088,0.5749,WavLM,IEMOCAP,10
Layer 17,17,0.5817,0.0165,0.5811,WavLM,IEMOCAP,10
Layer 18,18,0.5921,0.015,0.5915,WavLM,IEMOCAP,10
Layer 19,19,0.5815,0.0129,0.5813,WavLM,IEMOCAP,10
Layer 20,20,0.5839,0.0104,0.5836,WavLM,IEMOCAP,10
Layer 21,21,0.5844,0.0197,0.5843,WavLM,IEMOCAP,10
Layer 22,22,0.5718,0.0217,0.5718,WavLM,IEMOCAP,10
Layer 23,23,0.5509,0.0105,0.5509,WavLM,IEMOCAP,10
Layer 24,24,0.5432,0.0222,0.5429,WavLM,IEMOCAP,10
CNN,0,0.5744,0.0131,0.5738,WavLM,IEMOCAP,20
Layer 1,1,0.5877,0.013,0.5877,WavLM,IEMOCAP,20
Layer 2,2,0.585,0.0082,0.5844,WavLM,IEMOCAP,20
Layer 3,3,0.5828,0.0122,0.5828,WavLM,IEMOCAP,20
Layer 4,4,0.5908,0.0138,0.5906,WavLM,IEMOCAP,20
Layer 5,5,0.6027,0.0151,0.6025,WavLM,IEMOCAP,20
Layer 6,6,0.6075,0.0169,0.6073,WavLM,IEMOCAP,20
Layer 7,7,0.6227,0.0113,0.6224,WavLM,IEMOCAP,20
Layer 8,8,0.6245,0.0099,0.6243,WavLM,IEMOCAP,20
Layer 9,9,0.6236,0.0097,0.6235,WavLM,IEMOCAP,20
Layer 10,10,0.6247,0.0121,0.6245,WavLM,IEMOCAP,20
Layer 11,11,0.628,0.0111,0.6277,WavLM,IEMOCAP,20
Layer 12,12,0.6337,0.0082,0.6335,WavLM,IEMOCAP,20
Layer 13,13,0.6211,0.0139,0.6212,WavLM,IEMOCAP,20
Layer 14,14,0.6145,0.0138,0.6143,WavLM,IEMOCAP,20
Layer 15,15,0.6229,0.0113,0.6226,WavLM,IEMOCAP,20
Layer 16,16,0.6295,0.0065,0.6291,WavLM,IEMOCAP,20
Layer 17,17,0.6324,0.0167,0.6321,WavLM,IEMOCAP,20
Layer 18,18,0.6244,0.016,0.624,WavLM,IEMOCAP,20
Layer 19,19,0.6264,0.0096,0.6262,WavLM,IEMOCAP,20
Layer 20,20,0.6275,0.0219,0.6277,WavLM,IEMOCAP,20
Layer 21,21,0.6324,0.0095,0.6324,WavLM,IEMOCAP,20
Layer 22,22,0.6278,0.01,0.6277,WavLM,IEMOCAP,20
Layer 23,23,0.5973,0.0152,0.5972,WavLM,IEMOCAP,20
Layer 24,24,0.581,0.018,0.5806,WavLM,IEMOCAP,20
CNN,0,0.5011,0.0159,0.5005,WavLM,IEMOCAP,5
Layer 1,1,0.5273,0.0103,0.5268,WavLM,IEMOCAP,5
Layer 2,2,0.5383,0.0092,0.538,WavLM,IEMOCAP,5
Layer 3,3,0.5328,0.0121,0.5324,WavLM,IEMOCAP,5
Layer 4,4,0.5319,0.0189,0.5314,WavLM,IEMOCAP,5
Layer 5,5,0.5463,0.0219,0.5461,WavLM,IEMOCAP,5
Layer 6,6,0.5421,0.0178,0.5416,WavLM,IEMOCAP,5
Layer 7,7,0.5388,0.0162,0.5382,WavLM,IEMOCAP,5
Layer 8,8,0.5388,0.0242,0.5383,WavLM,IEMOCAP,5
Layer 9,9,0.5458,0.0212,0.5447,WavLM,IEMOCAP,5
Layer 10,10,0.5469,0.0153,0.5467,WavLM,IEMOCAP,5
Layer 11,11,0.5527,0.015,0.5521,WavLM,IEMOCAP,5
Layer 12,12,0.5449,0.0126,0.5445,WavLM,IEMOCAP,5
Layer 13,13,0.5383,0.013,0.5379,WavLM,IEMOCAP,5
Layer 14,14,0.537,0.0229,0.5364,WavLM,IEMOCAP,5
Layer 15,15,0.5412,0.0144,0.5411,WavLM,IEMOCAP,5
Layer 16,16,0.535,0.0132,0.5344,WavLM,IEMOCAP,5
Layer 17,17,0.5416,0.0092,0.5415,WavLM,IEMOCAP,5
Layer 18,18,0.5385,0.0142,0.5382,WavLM,IEMOCAP,5
Layer 19,19,0.5346,0.0209,0.5341,WavLM,IEMOCAP,5
Layer 20,20,0.5341,0.0113,0.5338,WavLM,IEMOCAP,5
Layer 21,21,0.5273,0.0095,0.5269,WavLM,IEMOCAP,5
Layer 22,22,0.5357,0.0193,0.5356,WavLM,IEMOCAP,5
Layer 23,23,0.5106,0.0253,0.5103,WavLM,IEMOCAP,5
Layer 24,24,0.5071,0.0264,0.5068,WavLM,IEMOCAP,5
CNN,0,0.7796,0.0302,0.7783,WavLM,MESD,clean
Layer 1,1,0.8631,0.0267,0.8633,WavLM,MESD,clean
Layer 2,2,0.8979,0.0081,0.8975,WavLM,MESD,clean
Layer 3,3,0.8921,0.0048,0.8915,WavLM,MESD,clean
Layer 4,4,0.8956,0.016,0.8954,WavLM,MESD,clean
Layer 5,5,0.9107,0.0199,0.9104,WavLM,MESD,clean
