feature,mi,monosemanticity,dominant_emotion
4229,0.014134554882980939,0.5227950215339661,anger
6592,0.013763478493648238,0.5761427879333496,fear
4478,0.013708067554581302,0.5252906084060669,anger
4260,0.013588258891348385,0.5329742431640625,disgust
643,0.013488041346870379,0.6747969388961792,anger
979,0.013181787091710678,0.6271121501922607,fear
84,0.013178564269582728,0.559890866279602,anger
6259,0.013155717397844243,0.5683583617210388,anger
5885,0.013013726153778002,0.6662077903747559,anger
7743,0.012932173854646619,0.6476556062698364,disgust
3590,0.01287992994045807,0.5275543928146362,anger
2241,0.012781964063158608,0.5615232586860657,anger
4295,0.012613071552776463,0.7454728484153748,anger
940,0.01261155777835881,0.5995784401893616,disgust
5073,0.012585290804911393,0.5070517659187317,anger
1368,0.012514351899118259,0.5720117688179016,anger
5301,0.012508633193539752,0.6592815518379211,anger
2012,0.012331836236630677,0.5755249261856079,anger
6264,0.012283378680563554,0.5122926831245422,fear
4008,0.012143270499857731,0.5391306281089783,fear
6673,0.012130515595847104,0.502849817276001,disgust
7130,0.01208889863245598,0.5254327058792114,anger
1736,0.012035648733182625,0.5264540314674377,anger
7124,0.012031378625209987,0.5026537179946899,anger
4108,0.011937027381216228,0.6141551733016968,anger
6156,0.01193694608444481,0.5576249361038208,happiness
1503,0.011850806051846425,0.5552651286125183,anger
8019,0.011807882884448355,0.6627025604248047,anger
6704,0.011705070435635519,0.5901777744293213,anger
82,0.011519618749561908,0.5706607699394226,disgust
6795,0.011430639105093218,0.5099625587463379,anger
421,0.011395400086967851,0.5323116183280945,anger
5608,0.01120428376913229,0.5404621362686157,anger
5836,0.01118225833732444,0.5006477236747742,anger
4619,0.011172533609587643,0.5248254537582397,sadness
26,0.011158280096103729,0.6424750685691833,fear
7692,0.011037276439825279,0.5040637850761414,anger
2396,0.010868483206473458,0.5408498048782349,fear
7239,0.01081024230642072,0.7239989042282104,anger
1279,0.010747628584281193,0.5698850154876709,anger
2679,0.010701388179716963,0.5836412310600281,anger
1055,0.010698358519316284,0.5396686792373657,anger
4994,0.010606913581996532,0.5820301175117493,anger
6039,0.010525762246715902,0.6978217959403992,fear
7841,0.010460386350384585,0.5643585920333862,anger
1461,0.01040729634889364,0.5067176222801208,anger
6728,0.010191064647123774,0.6178144216537476,anger
788,0.010167750275920496,0.5868228673934937,sadness
