file,step,metric,value
step1_HuBERT_CREMA-D_L20_metrics.json,step1,dead_features,4
step1_HuBERT_CREMA-D_L20_metrics.json,step1,alive_features,8188
step1_HuBERT_CREMA-D_L20_metrics.json,step1,dead_frac,0.00048828125
step1_HuBERT_CREMA-D_L20_metrics.json,step1,median_density_alive,0.00170482402451203
step1_HuBERT_CREMA-D_L21_metrics.json,step1,tag,HuBERT_CREMA-D_L21
step1_HuBERT_CREMA-D_L21_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L21_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L21_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L21_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L21_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L21_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L21_metrics.json,step1,final_fvu,0.06210051040633628
step1_HuBERT_CREMA-D_L21_metrics.json,step1,final_recon_mse,0.062048718333244324
step1_HuBERT_CREMA-D_L21_metrics.json,step1,explained_variance,0.9378994895936638
step1_HuBERT_CREMA-D_L21_metrics.json,step1,dead_features,6
step1_HuBERT_CREMA-D_L21_metrics.json,step1,alive_features,8186
step1_HuBERT_CREMA-D_L21_metrics.json,step1,dead_frac,0.000732421875
step1_HuBERT_CREMA-D_L21_metrics.json,step1,median_density_alive,0.0017090781081664582
step1_HuBERT_CREMA-D_L22_metrics.json,step1,tag,HuBERT_CREMA-D_L22
step1_HuBERT_CREMA-D_L22_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L22_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L22_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L22_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L22_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L22_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L22_metrics.json,step1,final_fvu,0.057745994952895646
step1_HuBERT_CREMA-D_L22_metrics.json,step1,final_recon_mse,0.05760391056537628
step1_HuBERT_CREMA-D_L22_metrics.json,step1,explained_variance,0.9422540050471043
step1_HuBERT_CREMA-D_L22_metrics.json,step1,dead_features,38
step1_HuBERT_CREMA-D_L22_metrics.json,step1,alive_features,8154
step1_HuBERT_CREMA-D_L22_metrics.json,step1,dead_frac,0.004638671875
step1_HuBERT_CREMA-D_L22_metrics.json,step1,median_density_alive,0.0016181470700530592
step1_HuBERT_CREMA-D_L23_metrics.json,step1,tag,HuBERT_CREMA-D_L23
step1_HuBERT_CREMA-D_L23_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L23_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L23_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L23_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L23_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L23_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L23_metrics.json,step1,final_fvu,0.061037019649001295
step1_HuBERT_CREMA-D_L23_metrics.json,step1,final_recon_mse,0.06104324758052826
step1_HuBERT_CREMA-D_L23_metrics.json,step1,explained_variance,0.9389629803509987
step1_HuBERT_CREMA-D_L23_metrics.json,step1,dead_features,165
step1_HuBERT_CREMA-D_L23_metrics.json,step1,alive_features,8027
step1_HuBERT_CREMA-D_L23_metrics.json,step1,dead_frac,0.0201416015625
step1_HuBERT_CREMA-D_L23_metrics.json,step1,median_density_alive,0.0018558439942442247
step1_HuBERT_CREMA-D_L24_metrics.json,step1,tag,HuBERT_CREMA-D_L24
step1_HuBERT_CREMA-D_L24_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L24_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L24_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L24_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L24_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L24_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L24_metrics.json,step1,final_fvu,0.040163162670326574
step1_HuBERT_CREMA-D_L24_metrics.json,step1,final_recon_mse,0.04015415906906128
step1_HuBERT_CREMA-D_L24_metrics.json,step1,explained_variance,0.9598368373296734
step1_HuBERT_CREMA-D_L24_metrics.json,step1,dead_features,333
step1_HuBERT_CREMA-D_L24_metrics.json,step1,alive_features,7859
step1_HuBERT_CREMA-D_L24_metrics.json,step1,dead_frac,0.0406494140625
step1_HuBERT_CREMA-D_L24_metrics.json,step1,median_density_alive,0.0016420762906092167
step1_HuBERT_CREMA-D_L2_metrics.json,step1,tag,HuBERT_CREMA-D_L2
step1_HuBERT_CREMA-D_L2_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L2_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L2_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L2_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L2_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L2_metrics.json,step1,n_utterances,7442
